ranking,score,title,number_of_episodes,emission_date,number_members,url
95,8.56,Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"552,338 members",https://myanimelist.net/anime/40834/Ousama_Ranking
96,8.56,Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"458,641 members",https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
97,8.56,Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"596,411 members",https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
98,8.56,Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"875,046 members",https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
99,8.55,Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,063,373 members",https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
100,8.55,Karakai Jouzu no Takagi-san Movie,Movie (1 eps),Jun 2022 - Jun 2022,"53,466 members",https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie
101,8.55,Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"237,498 members",https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
102,8.55,Neon Genesis Evangelion: The End of Evangelion,Movie (1 eps),Jul 1997 - Jul 1997,"863,827 members",https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
103,8.54,Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"132,000 members",https://myanimelist.net/anime/21329/Mushishi__Hihamukage
104,8.54,Nana,TV (47 eps),Apr 2006 - Mar 2007,"608,035 members",https://myanimelist.net/anime/877/Nana
105,8.54,Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,"636,982 members",https://myanimelist.net/anime/437/Perfect_Blue
106,8.54,Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,"278,436 members",https://myanimelist.net/anime/170/Slam_Dunk
107,8.54,Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"318,637 members",https://myanimelist.net/anime/12365/Bakuman_3rd_Season
108,8.54,Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"740,389 members",https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
109,8.53,Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"228,780 members",https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
110,8.53,Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,690,593 members",https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
111,8.53,Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,"15,135 members",https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie
112,8.53,Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"472,155 members",https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
113,8.53,Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"818,207 members",https://myanimelist.net/anime/30484/Steins_Gate_0
114,8.53,Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,"202,134 members",https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
115,8.52,Yakusoku no Neverland,TV (12 eps),Jan 2019 - Mar 2019,"1,836,646 members",https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
116,8.52,Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,"155,249 members",https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
117,8.52,Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"188,363 members",https://myanimelist.net/anime/35843/Gintama__Porori-hen
118,8.52,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),Jan 2004 - Jan 2005,"219,047 members",https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
119,8.52,Summertime Render,TV (25 eps),Apr 2022 - Sep 2022,"408,548 members",https://myanimelist.net/anime/47194/Summertime_Render
120,8.51,Road of Naruto,ONA (1 eps),Oct 2022 - Oct 2022,"23,502 members",https://myanimelist.net/anime/53236/Road_of_Naruto
121,8.51,Samurai Champloo,TV (26 eps),May 2004 - Mar 2005,"1,172,327 members",https://myanimelist.net/anime/205/Samurai_Champloo
122,8.51,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie (1 eps),Jan 2019 - Jan 2019,"357,504 members",https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
123,8.51,Hotaru no Haka,Movie (1 eps),Apr 1988 - Apr 1988,"627,087 members",https://myanimelist.net/anime/578/Hotaru_no_Haka
124,8.51,Kimetsu no Yaiba,TV (26 eps),Apr 2019 - Sep 2019,"2,741,601 members",https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
125,8.50,Ansatsu Kyoushitsu 2nd Season,TV (25 eps),Jan 2016 - Jul 2016,"1,340,051 members",https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
126,8.50,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV (39 eps),Apr 2016 - Dec 2016,"1,036,096 members",https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
127,8.50,Uchuu Kyoudai,TV (99 eps),Apr 2012 - Mar 2014,"185,123 members",https://myanimelist.net/anime/12431/Uchuu_Kyoudai
128,8.50,One Punch Man,TV (12 eps),Oct 2015 - Dec 2015,"3,014,136 members",https://myanimelist.net/anime/30276/One_Punch_Man
129,8.50,Shingeki no Kyojin Season 2,TV (12 eps),Apr 2017 - Jun 2017,"2,525,124 members",https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
130,8.49,Mob Psycho 100,TV (12 eps),Jul 2016 - Sep 2016,"1,923,769 members",https://myanimelist.net/anime/32182/Mob_Psycho_100
131,8.49,Aria the Origination,TV (13 eps),Jan 2008 - Apr 2008,"122,273 members",https://myanimelist.net/anime/3297/Aria_the_Origination
132,8.49,Banana Fish,TV (24 eps),Jul 2018 - Dec 2018,"795,040 members",https://myanimelist.net/anime/36649/Banana_Fish
133,8.49,Bungou Stray Dogs 4th Season,TV (13 eps),Jan 2023 - Mar 2023,"203,024 members",https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
134,8.48,Jujutsu Kaisen 0 Movie,Movie (1 eps),Dec 2021 - Dec 2021,"667,307 members",https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
135,8.48,Rainbow: Nisha Rokubou no Shichinin,TV (26 eps),Apr 2010 - Sep 2010,"377,107 members",https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
136,8.48,Yuru Camp△ Movie,Movie (1 eps),Jul 2022 - Jul 2022,"62,775 members",https://myanimelist.net/anime/38475/Yuru_Camp△_Movie
137,8.47,Chihayafuru 3,TV (24 eps),Oct 2019 - Mar 2020,"130,253 members",https://myanimelist.net/anime/37379/Chihayafuru_3
138,8.47,Gintama: The Semi-Final,Special (2 eps),Jan 2021 - Jan 2021,"67,140 members",https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
139,8.47,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie (1 eps),Oct 2013 - Oct 2013,"357,485 members",https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
140,8.46,Nichijou,TV (26 eps),Apr 2011 - Sep 2011,"841,747 members",https://myanimelist.net/anime/10165/Nichijou
141,8.46,The First Slam Dunk,Movie (1 eps),Dec 2022 - Dec 2022,"16,480 members",https://myanimelist.net/anime/45649/The_First_Slam_Dunk
142,8.46,Yuu☆Yuu☆Hakusho,TV (112 eps),Oct 1992 - Jan 1995,"645,713 members",https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
143,8.46,Fruits Basket: Prelude,Movie (1 eps),Feb 2022 - Feb 2022,"86,571 members",https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
144,8.45,Golden Kamuy 3rd Season,TV (12 eps),Oct 2020 - Dec 2020,"149,574 members",https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
145,8.45,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,"708,391 members",https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
146,8.45,Owarimonogatari,TV (12 eps),Oct 2015 - Dec 2015,"457,180 members",https://myanimelist.net/anime/31181/Owarimonogatari
147,8.45,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,"797,577 members",https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
148,8.45,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie (1 eps),Apr 2013 - Apr 2013,"565,181 members",https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
149,8.45,Zoku Owarimonogatari,Movie (6 eps),Nov 2018 - Nov 2018,"211,800 members",https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
150,8.44,Haikyuu!!,TV (25 eps),Apr 2014 - Sep 2014,"1,842,883 members",https://myanimelist.net/anime/20583/Haikyuu
151,8.44,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,"1,030,024 members",https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
152,8.44,Karakai Jouzu no Takagi-san 3,TV (12 eps),Jan 2022 - Mar 2022,"165,882 members",https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
153,8.44,Mo Dao Zu Shi,ONA (15 eps),Jul 2018 - Oct 2018,"213,624 members",https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
154,8.44,Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),Aug 2014 - Aug 2014,"95,759 members",https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
155,8.43,Kono Oto Tomare! Part 2,TV (13 eps),Oct 2019 - Dec 2019,"159,923 members",https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
156,8.43,Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps),Aug 2019 - Sep 2019,"96,124 members",https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
157,8.43,Mononoke,TV (12 eps),Jul 2007 - Sep 2007,"303,241 members",https://myanimelist.net/anime/2246/Mononoke
