ranking,score,title,number_of_episodes,emission_date,number_members,url
75,8.62,Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,203,699 members",https://myanimelist.net/anime/44511/Chainsaw_Man
76,8.62,Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,668,029 members",https://myanimelist.net/anime/1535/Death_Note
77,8.62,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,358,539 members",https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
78,8.62,Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"175,594 members",https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
79,8.62,Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"369,838 members",https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
80,8.62,Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,175,887 members",https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
81,8.61,Mo Dao Zu Shi: Wanjie Pian,ONA (12 eps),Aug 2021 - Oct 2021,"70,070 members",https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
82,8.61,Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"585,288 members",https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
83,8.61,Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"536,604 members",https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners
84,8.61,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie (1 eps),Mar 2021 - Mar 2021,"339,161 members",https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
85,8.60,Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"121,819 members",https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
86,8.60,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,"653,367 members",https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
87,8.59,Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"237,227 members",https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
88,8.58,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"941,202 members",https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
89,8.58,Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"420,292 members",https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
90,8.58,Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"241,266 members",https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
91,8.58,Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"776,032 members",https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
92,8.57,Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"174,841 members",https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
93,8.57,Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"279,220 members",https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
94,8.57,Suzume no Tojimari,Movie (1 eps),Nov 2022 - Nov 2022,"149,890 members",https://myanimelist.net/anime/50594/Suzume_no_Tojimari
95,8.57,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"205,163 members",https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
96,8.57,Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"424,079 members",https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
97,8.56,Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"555,730 members",https://myanimelist.net/anime/40834/Ousama_Ranking
98,8.56,Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"460,204 members",https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
99,8.56,Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"597,888 members",https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
