ranking,score,title,number_of_episodes,emission_date,number_members,url,studio,themes,genres,demographics
66,8.65,Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,"2,080,394 members",https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,A-1 Pictures,"Music, School","Drama, Romance",Shounen
67,8.65,Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,289,685 members",https://myanimelist.net/anime/50265/Spy_x_Family,Wit Studio,Childcare,"Action, Award Winning, Comedy",Shounen
68,8.65,Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,191,052 members",https://myanimelist.net/anime/40748/Jujutsu_Kaisen,MAPPA,School,"Action, Award Winning, Fantasy",Shounen
69,8.64,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV (12 eps),Apr 2020 - Jun 2020,"1,230,625 members",https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,A-1 Pictures,"Psychological, Romantic Subtext, School",Comedy,Seinen
70,8.63,Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,"1,341,261 members",https://myanimelist.net/anime/28891/Haikyuu_Second_Season,Production I.G,"School, Team Sports",Sports,Shounen
71,8.63,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,351,925 members",https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,ufotable,Historical,"Action, Fantasy",Shounen
72,8.63,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"410,236 members",https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,Kinema Citrus,"Gore, Survival","Adventure, Drama, Fantasy, Mystery, Sci-Fi",
73,8.63,Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,531,328 members",https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,Gainax,Mecha,"Action, Adventure, Award Winning, Sci-Fi",
74,8.62,Mo Dao Zu Shi: Wanjie Pian,ONA (12 eps),Aug 2021 - Oct 2021,"69,739 members",https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,B.CMAY PICTURES,"Historical, Mythology, Reincarnation","Action, Adventure, Drama, Fantasy, Mystery",
75,8.62,Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"175,242 members",https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,Shuka,"Iyashikei, Mythology","Drama, Slice of Life, Supernatural",Shoujo
